FID,OBJECTID,MouthLat,MouthLon,delta_name,BasinID,BasinArea,Continent,ChannelSlo,Discharge_,Discharge1,TidalAmp,QRiver_pri,QTide,QWave,RFluvial,Rtide,Rwave,Wave_lat,Wave_lon
0,1,51.091666666700000,234.375000000000000,213107.000000000000000,213107.000000000000000,5918.000000000000000,1.000000000000000,0.000330000000000,330.000000000000000,4884.909179690000200,2.812000000000000,158.000000000000000,2338.835304209999800,1.000000000000000,0.063254770934400,0.936344882414000,0.000400346651484,51.000000000000000,234.500000000000000
1,2,50.929166666699999,235.145833333000010,215546.000000000000000,215546.000000000000000,5807.000000000000000,1.000000000000000,0.000220000000000,253.000000000000000,10516.607421900000000,2.809000000000000,136.000000000000000,5653.196084490000400,1.000000000000000,0.023487978302600,0.976339315975000,0.000172705722813,50.500000000000000,235.500000000000000
2,3,40.625000000000000,235.720833333000000,364680.000000000000000,364680.000000000000000,9274.000000000000000,1.000000000000000,0.000500000000000,235.000000000000000,126.388481140000000,1.406000000000000,558.000000000000000,126.388481140000000,2260.364501950000000,0.189489577973000,0.042919892386800,0.767590529641000,40.500000000000000,236.000000000000000
3,4,41.524999999999999,235.958333333000010,357667.000000000000000,357667.000000000000000,31251.000000000000000,1.000000000000000,0.000130000000000,473.000000000000000,2420.969726559999800,1.461000000000000,315.000000000000000,1612.273707959999900,2071.069824220000100,0.078782625220800,0.403235413612000,0.517981961167000,41.500000000000000,236.000000000000000
4,5,46.262500000000003,236.537499999999990,317358.000000000000000,317358.000000000000000,652077.000000000000000,1.000000000000000,0.000100000000000,4365.411883110000400,111763.507813000000000,3.073000000000000,1834.759240520000000,46973.603912600003000,2071.000000000000000,0.036060971026800,0.923234903142000,0.040704125831300,46.000000000000000,237.000000000000000
5,6,49.704166666699997,236.820833333000000,245748.000000000000000,245748.000000000000000,3896.000000000000000,1.000000000000000,0.000120000000000,250.000000000000000,25305.601562500000000,2.585000000000000,57.000000000000000,5769.677156249999800,1.000000000000000,0.009780912441050,0.990047492604000,0.000171594955106,49.500000000000000,237.000000000000000
6,7,49.158333333300000,237.033333333000000,261972.000000000000000,261972.000000000000000,247364.000000000000000,1.000000000000000,0.000060000000000,3560.000000000000000,25867.337890600000000,2.109000000000000,634.000000000000000,4606.711298500000300,1.000000000000000,0.120952865180000,0.878856357430000,0.000190777389874,49.000000000000000,237.500000000000000
7,8,31.920833333299999,245.045833332999990,405647.000000000000000,405647.000000000000000,657355.000000000000000,1.000000000000000,0.000400000000000,694.000000000000000,6470.533203130000400,3.230000000000000,3803.000000000000000,6470.533203130000400,20.901853561399999,0.369422894900000,0.628546701931000,0.002030403168930,31.500000000000000,245.500000000000000
8,9,28.600000000000001,264.024999999999980,430132.000000000000000,430132.000000000000000,110006.000000000000000,1.000000000000000,0.000270000000000,76.000000000000000,1.299483418460000,0.345000000000000,44.000000000000000,0.752332505427000,161.831314087000010,0.212988785539000,0.003641781514830,0.783369432946000,28.500000000000000,264.500000000000000
9,10,28.879166666700002,264.625000000000000,428175.000000000000000,428175.000000000000000,113435.000000000000000,1.000000000000000,0.000380000000000,189.000000000000000,1.951446294780000,0.404000000000000,290.000000000000000,1.951446294780000,114.936088561999990,0.712727658521000,0.004796033615210,0.282476307863000,28.500000000000000,265.000000000000000
