FID,OBJECTID,MouthLat,MouthLon,River,F4,Qav__m3_s_,Qmx__m3_s_,Qs__kg_s_,Qb__kg_s_,Qbmx__kg_s,Yield__T_k,Cs__kg_m3_,L__km_,Q_A__m_yr_,Dgrd__m_km,CN__Pre_da,CN__Modern,DSh__m_,Wa__m_,Ti__m_,AD__km2_,Dmm__mm_,TCw__km_,TCw__Rw,Pm__Pr,φ,TVs_ΘADDS
10,11,45.595833333300000,47.720833333300000,Volga,Rus/Ukr,8200.000000000000000,22400.000000000000000,602.000000000000000,38.000000000000000,105.000000000000000,15.000000000000000,0.080000000000000,3688.000000000000000,0.190000000000000,0.000020000000000,85.000000000000000,100.000000000000000,30.000000000000000,1.000000000000000,0.000000000000000,5400.000000000000000,–,3.000000000000000,1.700000000000000,0.200000000000000,0.640000000000000,0.800000000000000
11,12,22.399999999999999,113.258333333000000,Pearl,China,8199.000000000000000,16000.000000000000000,2459.000000000000000,124.000000000000000,241.000000000000000,185.000000000000000,0.230000000000000,2093.000000000000000,0.590000000000000,0.000060000000000,12.000000000000000,15.000000000000000,100.000000000000000,1.500000000000000,5.000000000000000,5200.000000000000000,–,23.800000000000001,26.399999999999999,2.600000000000000,0.090000000000000,1.000000000000000
12,13,11.070833333300000,285.158333332999970,Magdalena,Col,7530.000000000000000,10000.000000000000000,6970.000000000000000,186.000000000000000,247.000000000000000,868.000000000000000,0.650000000000000,1550.000000000000000,0.910000000000000,0.000100000000000,7.000000000000000,7.000000000000000,200.000000000000000,1.500000000000000,1.500000000000000,7500.000000000000000,–,0.700000000000000,1.700000000000000,0.400000000000000,1.590000000000000,0.900000000000000
13,14,63.039639000000001,195.535639000000000,Yukon,AL,6620.000000000000000,18100.000000000000000,1702.000000000000000,180.000000000000000,492.000000000000000,72.000000000000000,0.310000000000000,3185.000000000000000,0.250000000000000,0.000110000000000,43.000000000000000,43.000000000000000,50.000000000000000,2.000000000000000,1.500000000000000,5200.000000000000000,–,22.600000000000001,5.800000000000000,0.300000000000000,0.300000000000000,1.400000000000000
14,15,45.250000000000000,29.699999999999999,Danube,Rom,6420.000000000000000,8900.000000000000000,2123.000000000000000,98.000000000000000,136.000000000000000,86.000000000000000,0.330000000000000,2850.000000000000000,0.250000000000000,0.000060000000000,7.000000000000000,9.000000000000000,70.000000000000000,1.500000000000000,0.000000000000000,4200.000000000000000,–,1.100000000000000,3.700000000000000,0.400000000000000,0.990000000000000,1.500000000000000
15,16,4.395833333330000,6.070833333330000,Niger,Nig,6130.000000000000000,12000.000000000000000,1268.000000000000000,106.000000000000000,207.000000000000000,35.000000000000000,0.210000000000000,4170.000000000000000,0.160000000000000,0.000070000000000,15.000000000000000,15.000000000000000,40.000000000000000,1.400000000000000,3.000000000000000,17135.000000000000000,0.15,16.899999999999999,8.500000000000000,1.200000000000000,0.130000000000000,0.400000000000000
16,17,68.049999999999997,53.950000000000003,Pechora,Rus,4099.000000000000000,13810.000000000000000,193.000000000000000,14.000000000000000,49.000000000000000,20.000000000000000,0.060000000000000,1809.000000000000000,0.400000000000000,0.000010000000000,23.000000000000000,23.000000000000000,20.000000000000000,2.000000000000000,3.000000000000000,3000.000000000000000,–,3.000000000000000,3.300000000000000,8.600000000000000,0.020000000000000,0.700000000000000
17,18,20.316666666700002,106.533333333000000,Kolyma,Rus,3784.000000000000000,10100.000000000000000,186.000000000000000,78.000000000000000,209.000000000000000,13.000000000000000,0.150000000000000,2129.000000000000000,0.190000000000000,0.000080000000000,10.000000000000000,10.000000000000000,30.000000000000000,1.500000000000000,1.000000000000000,6400.000000000000000,–,25.699999999999999,8.600000000000000,0.400000000000000,0.080000000000000,0.300000000000000
18,19,69.527028000000001,161.383332999999990,Song Hong red,Viet,3784.000000000000000,7000.000000000000000,3469.000000000000000,187.000000000000000,346.000000000000000,961.000000000000000,1.080000000000000,1210.000000000000000,0.990000000000000,0.000050000000000,10.000000000000000,10.000000000000000,50.000000000000000,1.500000000000000,3.500000000000000,11400.000000000000000,–,18.500000000000000,4.900000000000000,0.900000000000000,0.250000000000000,1.200000000000000
19,20,49.158333333300000,237.033333333000000,Fraser,Can,3560.000000000000000,7100.000000000000000,634.000000000000000,57.000000000000000,114.000000000000000,100.000000000000000,0.180000000000000,1370.000000000000000,0.520000000000000,0.000060000000000,5.000000000000000,8.000000000000000,300.000000000000000,1.500000000000000,4.500000000000000,1600.000000000000000,0.25,2.300000000000000,5.800000000000000,4.800000000000000,0.030000000000000,0.300000000000000
